Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P001,2,0,
9653508,P035,4,0,
9653509,P006,2,0,
9653510,P016,1,0,
9653511,P027,6,0,Worst (in list)
9653512,P032,4,0,
9653513,P001,2,0,
9653514,P034,1,0,
9653515,P034,3,0,
9653516,P031,4,0,
9653517,P034,3,0,
9653518,P029,1,0,
9653519,P006,3,0,
9653520,P005,4,0,
9653521,P022,1,0,
9653522,P002,3,0,
9653523,P015,5,0,
9653524,P002,5,0,
9653525,P026,2,0,
9653526,P026,1,0,
9653527,P014,6,0,Worst (in list)
9653528,P030,1,0,
9653529,P004,5,0,
9653530,P005,2,0,
9653531,P008,6,0,Worst (in list)
9653532,P030,3,0,
9653533,P007,4,0,
9653534,P025,2,0,
9653535,P020,2,0,
9653536,P027,6,0,Worst (in list)
9653537,P024,4,0,
9653538,P031,5,0,
9653539,P018,2,0,
9653540,P029,1,0,
9653541,P012,3,0,
9653542,P018,3,0,
9653543,P032,4,0,
9653544,P019,5,0,
9653545,P024,4,0,
9653546,P036,2,0,
9653547,P008,4,0,
9653548,P013,4,0,
9653549,P007,4,0,
9653550,P012,3,0,
9653551,P003,2,0,
9653552,P034,5,0,
9653553,P012,2,0,
9653554,P026,2,0,
9653555,P020,2,0,
9653556,P034,2,0,
9653557,P028,1,0,
9653558,P005,6,0,Worst (in list)
9653559,P011,1,0,
9653560,P003,1,0,
9653561,P008,5,0,
9653562,P011,6,0,Worst (in list)
9653563,P037,6,0,Worst (in list)
9653564,P006,6,0,Worst (in list)
9653565,P021,3,0,
9653566,P031,6,0,Worst (in list)
9653567,P028,5,0,
9653568,P027,4,0,
9653569,P019,6,0,Worst (in list)
9653570,P036,2,0,
9653571,P017,1,0,
9653572,P013,5,0,
9653573,P029,2,0,
9653574,P032,3,0,
9653575,P011,1,0,
9653576,P019,6,0,Worst (in list)
9653577,P018,2,0,
9653578,P009,6,0,Worst (in list)
9653579,P005,1,0,
9653580,P032,4,0,
9653581,P025,5,0,
9653582,P025,4,0,
9653583,P034,5,0,
9653584,P003,2,0,
9653585,P001,5,0,
9653586,P022,6,0,Worst (in list)
9653587,P021,5,0,
9653588,P015,6,0,Worst (in list)
9653589,P011,6,0,Worst (in list)
9653590,P002,2,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P017,6,0,Worst (in list)
9653594,P011,6,0,Worst (in list)
9653595,P017,6,0,Worst (in list)
9653596,P013,3,0,
9653597,P002,6,0,Worst (in list)
9653598,P026,1,0,
9653599,P013,4,0,
9653600,P007,1,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P031,3,0,
9653604,P010,3,0,
9653605,P026,2,0,
9653606,P015,6,0,Worst (in list)
9653607,P031,1,0,
9653608,P009,4,0,
