generation,fitness_score,avg_total,pref_penalty,capacity_viol,elig_viol,under_cap,total_violations,gini,cx_ops_gen,mut_ops_gen,repair_calls_gen
1,21263.0,26734.05,383,24,45,9,78,0.29983413304899004,47,46,140
2,21263.0,27046.183333333334,383,24,45,9,78,0.29983413304899004,44,44,132
3,21263.0,27395.4,383,24,45,9,78,0.29983413304899004,53,50,156
4,21263.0,27721.708333333332,383,24,45,9,78,0.29983413304899004,44,46,134
5,21263.0,28170.0,383,24,45,9,78,0.29983413304899004,46,57,149
6,21263.0,28673.708333333332,383,24,45,9,78,0.29983413304899004,47,46,140
7,21263.0,28687.45,383,24,45,9,78,0.29983413304899004,46,47,139
8,21263.0,28800.775,383,24,45,9,78,0.29983413304899004,49,44,142
9,21263.0,29082.866666666665,383,24,45,9,78,0.29983413304899004,49,43,141
10,21263.0,29639.9,383,24,45,9,78,0.29983413304899004,44,55,143
11,21263.0,30090.583333333332,383,24,45,9,78,0.29983413304899004,44,55,143
12,21263.0,30066.775,383,24,45,9,78,0.29983413304899004,46,44,136
13,21263.0,30099.141666666666,383,24,45,9,78,0.29983413304899004,43,46,132
14,21263.0,30348.966666666667,383,24,45,9,78,0.29983413304899004,47,49,143
15,21263.0,30360.675,383,24,45,9,78,0.29983413304899004,44,55,143
16,21263.0,30211.8,383,24,45,9,78,0.29983413304899004,45,50,140
17,21263.0,29816.433333333334,383,24,45,9,78,0.29983413304899004,48,48,144
18,21263.0,29770.141666666666,383,24,45,9,78,0.29983413304899004,47,40,134
19,21263.0,30230.166666666668,383,24,45,9,78,0.29983413304899004,46,56,148
20,21263.0,30552.75,383,24,45,9,78,0.29983413304899004,49,43,141
21,21263.0,30837.616666666665,383,24,45,9,78,0.29983413304899004,50,49,149
22,21263.0,30659.808333333334,383,24,45,9,78,0.29983413304899004,49,44,142
23,21263.0,30732.916666666668,383,24,45,9,78,0.29983413304899004,44,49,137
24,21263.0,31029.041666666668,383,24,45,9,78,0.29983413304899004,49,41,139
25,21263.0,30868.191666666666,383,24,45,9,78,0.29983413304899004,44,40,128
26,21263.0,30873.375,383,24,45,9,78,0.29983413304899004,44,49,137
27,21263.0,31078.225,383,24,45,9,78,0.29983413304899004,44,47,135
28,21263.0,30690.05,383,24,45,9,78,0.29983413304899004,46,50,142
29,21263.0,30791.258333333335,383,24,45,9,78,0.29983413304899004,42,51,135
30,21263.0,30996.191666666666,383,24,45,9,78,0.29983413304899004,46,53,145
