Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P016,6,1,Worst (not in list)
9653508,P021,1,0,
9653509,P019,3,0,
9653510,P027,6,1,Worst (not in list)
9653511,P025,6,1,Worst (not in list)
9653512,P013,2,0,
9653513,P002,6,1,Worst (not in list)
9653514,P034,1,0,
9653515,P031,6,1,Worst (not in list)
9653516,P011,3,0,
9653517,P010,6,1,Worst (not in list)
9653518,P029,1,0,
9653519,P009,4,0,
9653520,P010,2,0,
9653521,P035,2,0,
9653522,P009,6,1,Worst (not in list)
9653523,P036,6,1,Worst (not in list)
9653524,P027,6,1,Worst (not in list)
9653525,P011,3,0,
9653526,P002,2,0,
9653527,P004,2,0,
9653528,P026,6,1,Worst (not in list)
9653529,P031,3,0,
9653530,P011,6,1,Worst (not in list)
9653531,P016,3,0,
9653532,P002,6,1,Worst (not in list)
9653533,P006,6,1,Worst (not in list)
9653534,P007,6,1,Worst (not in list)
9653535,P023,5,0,
9653536,P024,1,0,
9653537,P032,1,0,
9653538,P001,6,1,Worst (not in list)
9653539,P028,1,0,
9653540,P016,2,0,
9653541,P037,4,0,
9653542,P002,6,1,Worst (not in list)
9653543,P001,6,1,Worst (not in list)
9653544,P026,6,1,Worst (not in list)
9653545,P024,4,0,
9653546,P028,1,0,
9653547,P013,5,0,
9653548,P014,5,0,
9653549,P012,6,1,Worst (not in list)
9653550,P020,4,0,
9653551,P019,4,0,
9653552,P031,4,0,
9653553,P029,6,1,Worst (not in list)
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P013,6,1,Worst (not in list)
9653557,P034,6,1,Worst (not in list)
9653558,P017,1,0,
9653559,P011,1,0,
9653560,P015,2,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P013,6,1,Worst (not in list)
9653565,P007,6,1,Worst (not in list)
9653566,P012,5,0,
9653567,P029,2,0,
9653568,P006,1,0,
9653569,P027,4,0,
9653570,P003,3,0,
9653571,P017,1,0,
9653572,P015,6,1,Worst (not in list)
9653573,P018,5,0,
9653574,P029,2,0,
9653575,P011,1,0,
9653576,P023,6,1,Worst (not in list)
9653577,P033,1,0,
9653578,P036,2,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P031,2,0,
9653582,P021,1,0,
9653583,P029,6,1,Worst (not in list)
9653584,P003,2,0,
9653585,P034,3,0,
9653586,P005,3,0,
9653587,P025,4,0,
9653588,P003,2,0,
9653589,P030,6,1,Worst (not in list)
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P032,2,0,
9653594,P003,6,1,Worst (not in list)
9653595,P018,6,1,Worst (not in list)
9653596,P025,4,0,
9653597,P019,4,0,
9653598,P010,6,1,Worst (not in list)
9653599,P017,5,0,
9653600,P007,1,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P023,6,1,Worst (not in list)
9653604,P005,2,0,
9653605,P008,5,0,
9653606,P024,1,0,
9653607,P022,6,1,Worst (not in list)
9653608,P020,1,0,
