Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P018,6,1,Worst (not in list)
9653508,P029,3,0,
9653509,P011,1,0,
9653510,P011,6,1,Worst (not in list)
9653511,P035,6,1,Worst (not in list)
9653512,P037,1,0,
9653513,P010,1,0,
9653514,P004,3,0,
9653515,P013,6,1,Worst (not in list)
9653516,P029,2,0,
9653517,P007,6,1,Worst (not in list)
9653518,P019,3,0,
9653519,P009,4,0,
9653520,P032,6,1,Worst (not in list)
9653521,P035,2,0,
9653522,P027,1,0,
9653523,P023,1,0,
9653524,P028,3,0,
9653525,P016,6,1,Worst (not in list)
9653526,P002,2,0,
9653527,P017,3,0,
9653528,P025,4,0,
9653529,P004,5,0,
9653530,P013,6,0,Worst (in list)
9653531,P031,5,0,
9653532,P036,6,1,Worst (not in list)
9653533,P002,5,0,
9653534,P009,6,1,Worst (not in list)
9653535,P016,6,1,Worst (not in list)
9653536,P024,1,0,
9653537,P032,1,0,
9653538,P034,3,0,
9653539,P028,1,0,
9653540,P029,1,0,
9653541,P012,3,0,
9653542,P017,1,0,
9653543,P006,1,0,
9653544,P032,1,0,
9653545,P006,6,1,Worst (not in list)
9653546,P010,6,1,Worst (not in list)
9653547,P015,3,0,
9653548,P034,6,1,Worst (not in list)
9653549,P036,6,1,Worst (not in list)
9653550,P020,4,0,
9653551,P019,4,0,
9653552,P007,1,0,
9653553,P002,6,1,Worst (not in list)
9653554,P032,3,0,
9653555,P008,5,0,
9653556,P027,6,1,Worst (not in list)
9653557,P022,6,1,Worst (not in list)
9653558,P011,3,0,
9653559,P023,6,1,Worst (not in list)
9653560,P030,5,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P027,6,1,Worst (not in list)
9653565,P021,3,0,
9653566,P018,3,0,
9653567,P029,2,0,
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P024,6,1,Worst (not in list)
9653571,P026,4,0,
9653572,P013,5,0,
9653573,P014,4,0,
9653574,P004,6,1,Worst (not in list)
9653575,P025,6,1,Worst (not in list)
9653576,P010,4,0,
9653577,P034,5,0,
9653578,P013,5,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P011,6,1,Worst (not in list)
9653582,P016,3,0,
9653583,P021,2,0,
9653584,P033,4,0,
9653585,P029,1,0,
9653586,P015,6,1,Worst (not in list)
9653587,P006,2,0,
9653588,P018,6,1,Worst (not in list)
9653589,P001,6,1,Worst (not in list)
9653590,P008,6,1,Worst (not in list)
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P010,3,0,
9653594,P003,6,1,Worst (not in list)
9653595,P033,6,1,Worst (not in list)
9653596,P025,4,0,
9653597,P002,6,0,Worst (in list)
9653598,P002,6,1,Worst (not in list)
9653599,P037,3,0,
9653600,P007,1,0,
9653601,P004,6,1,Worst (not in list)
9653602,P033,5,0,
9653603,P031,3,0,
9653604,P031,6,1,Worst (not in list)
9653605,P004,6,1,Worst (not in list)
9653606,P017,2,0,
9653607,P024,6,1,Worst (not in list)
9653608,P020,1,0,
