Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P036,1,0,
9653508,P036,6,1,Worst (not in list)
9653509,P019,3,0,
9653510,P004,6,1,Worst (not in list)
9653511,P031,3,0,
9653512,P013,2,0,
9653513,P007,3,0,
9653514,P024,6,1,Worst (not in list)
9653515,P028,6,0,Worst (in list)
9653516,P029,2,0,
9653517,P011,6,1,Worst (not in list)
9653518,P019,3,0,
9653519,P009,4,0,
9653520,P025,1,0,
9653521,P035,2,0,
9653522,P027,1,0,
9653523,P015,5,0,
9653524,P002,5,0,
9653525,P026,2,0,
9653526,P002,2,0,
9653527,P012,1,0,
9653528,P023,6,1,Worst (not in list)
9653529,P004,5,0,
9653530,P013,6,0,Worst (in list)
9653531,P010,2,0,
9653532,P037,1,0,
9653533,P011,2,0,
9653534,P015,6,1,Worst (not in list)
9653535,P020,2,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P018,2,0,
9653540,P016,2,0,
9653541,P012,3,0,
9653542,P017,1,0,
9653543,P027,3,0,
9653544,P006,4,0,
9653545,P024,4,0,
9653546,P007,6,1,Worst (not in list)
9653547,P008,4,0,
9653548,P013,4,0,
9653549,P022,6,1,Worst (not in list)
9653550,P031,6,1,Worst (not in list)
9653551,P031,6,1,Worst (not in list)
9653552,P001,2,0,
9653553,P002,6,1,Worst (not in list)
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P013,6,1,Worst (not in list)
9653557,P014,5,0,
9653558,P017,1,0,
9653559,P027,3,0,
9653560,P019,3,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P029,5,0,
9653565,P029,6,1,Worst (not in list)
9653566,P026,6,1,Worst (not in list)
9653567,P028,5,0,
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P010,6,1,Worst (not in list)
9653571,P001,6,0,Worst (in list)
9653572,P016,6,1,Worst (not in list)
9653573,P021,6,1,Worst (not in list)
9653574,P029,2,0,
9653575,P011,1,0,
9653576,P037,3,0,
9653577,P006,6,1,Worst (not in list)
9653578,P025,4,0,
9653579,P018,2,0,
9653580,P002,6,1,Worst (not in list)
9653581,P032,6,1,Worst (not in list)
9653582,P016,3,0,
9653583,P031,3,0,
9653584,P033,4,0,
9653585,P029,1,0,
9653586,P005,3,0,
9653587,P006,2,0,
9653588,P003,2,0,
9653589,P033,6,1,Worst (not in list)
9653590,P004,5,0,
9653591,P034,6,1,Worst (not in list)
9653592,P036,4,0,
9653593,P010,3,0,
9653594,P017,2,0,
9653595,P023,3,0,
9653596,P034,6,1,Worst (not in list)
9653597,P034,5,0,
9653598,P032,5,0,
9653599,P017,5,0,
9653600,P003,2,0,
9653601,P019,3,0,
9653602,P030,6,1,Worst (not in list)
9653603,P011,1,0,
9653604,P003,6,1,Worst (not in list)
9653605,P008,5,0,
9653606,P025,3,0,
9653607,P021,3,0,
9653608,P010,6,1,Worst (not in list)
