Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P020,3,0,
9653508,P026,6,1,Worst (not in list)
9653509,P029,6,1,Worst (not in list)
9653510,P027,6,1,Worst (not in list)
9653511,P031,3,0,
9653512,P023,6,1,Worst (not in list)
9653513,P031,6,1,Worst (not in list)
9653514,P016,4,0,
9653515,P028,6,0,Worst (in list)
9653516,P011,3,0,
9653517,P027,6,1,Worst (not in list)
9653518,P029,1,0,
9653519,P035,2,0,
9653520,P025,1,0,
9653521,P035,2,0,
9653522,P018,6,1,Worst (not in list)
9653523,P018,6,1,Worst (not in list)
9653524,P002,5,0,
9653525,P037,6,1,Worst (not in list)
9653526,P026,1,0,
9653527,P017,3,0,
9653528,P036,6,1,Worst (not in list)
9653529,P031,3,0,
9653530,P021,6,1,Worst (not in list)
9653531,P010,2,0,
9653532,P037,1,0,
9653533,P036,6,1,Worst (not in list)
9653534,P013,4,0,
9653535,P007,1,0,
9653536,P032,6,1,Worst (not in list)
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P030,6,1,Worst (not in list)
9653540,P016,2,0,
9653541,P015,6,1,Worst (not in list)
9653542,P013,6,0,Worst (in list)
9653543,P006,1,0,
9653544,P029,2,0,
9653545,P024,4,0,
9653546,P028,1,0,
9653547,P015,3,0,
9653548,P014,5,0,
9653549,P034,2,0,
9653550,P010,6,1,Worst (not in list)
9653551,P027,6,1,Worst (not in list)
9653552,P007,1,0,
9653553,P022,1,0,
9653554,P026,2,0,
9653555,P013,6,1,Worst (not in list)
9653556,P011,6,1,Worst (not in list)
9653557,P034,6,1,Worst (not in list)
9653558,P017,1,0,
9653559,P001,2,0,
9653560,P003,1,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P019,2,0,
9653564,P007,6,1,Worst (not in list)
9653565,P021,3,0,
9653566,P012,5,0,
9653567,P029,2,0,
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P001,6,0,Worst (in list)
9653572,P023,6,1,Worst (not in list)
9653573,P004,3,0,
9653574,P019,1,0,
9653575,P011,1,0,
9653576,P008,1,0,
9653577,P033,1,0,
9653578,P025,4,0,
9653579,P005,1,0,
9653580,P019,2,0,
9653581,P031,2,0,
9653582,P016,3,0,
9653583,P034,5,0,
9653584,P009,3,0,
9653585,P029,1,0,
9653586,P010,2,0,
9653587,P006,2,0,
9653588,P003,2,0,
9653589,P006,1,0,
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P032,2,0,
9653594,P019,5,0,
9653595,P005,1,0,
9653596,P025,4,0,
9653597,P002,6,0,Worst (in list)
9653598,P004,4,0,
9653599,P017,5,0,
9653600,P027,6,1,Worst (not in list)
9653601,P002,6,1,Worst (not in list)
9653602,P033,5,0,
9653603,P011,1,0,
9653604,P013,6,1,Worst (not in list)
9653605,P010,6,1,Worst (not in list)
9653606,P024,1,0,
9653607,P002,2,0,
9653608,P020,1,0,
