Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P020,3,0,
9653508,P021,1,0,
9653509,P011,1,0,
9653510,P013,4,0,
9653511,P017,6,1,Worst (not in list)
9653512,P013,2,0,
9653513,P028,4,0,
9653514,P034,1,0,
9653515,P031,6,1,Worst (not in list)
9653516,P036,1,0,
9653517,P037,5,0,
9653518,P005,2,0,
9653519,P009,4,0,
9653520,P010,2,0,
9653521,P035,2,0,
9653522,P001,6,0,Worst (in list)
9653523,P023,1,0,
9653524,P032,4,0,
9653525,P021,6,1,Worst (not in list)
9653526,P002,2,0,
9653527,P012,1,0,
9653528,P025,4,0,
9653529,P031,3,0,
9653530,P013,6,0,Worst (in list)
9653531,P009,4,0,
9653532,P037,1,0,
9653533,P008,1,0,
9653534,P030,6,1,Worst (not in list)
9653535,P002,6,1,Worst (not in list)
9653536,P024,1,0,
9653537,P032,1,0,
9653538,P012,2,0,
9653539,P028,1,0,
9653540,P016,2,0,
9653541,P012,3,0,
9653542,P034,6,1,Worst (not in list)
9653543,P016,2,0,
9653544,P002,3,0,
9653545,P024,4,0,
9653546,P028,1,0,
9653547,P023,6,1,Worst (not in list)
9653548,P008,1,0,
9653549,P034,2,0,
9653550,P004,6,1,Worst (not in list)
9653551,P019,4,0,
9653552,P007,1,0,
9653553,P022,1,0,
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P013,6,1,Worst (not in list)
9653557,P004,3,0,
9653558,P017,1,0,
9653559,P036,6,1,Worst (not in list)
9653560,P019,3,0,
9653561,P013,3,0,
9653562,P010,1,0,
9653563,P029,3,0,
9653564,P029,5,0,
9653565,P007,6,1,Worst (not in list)
9653566,P036,6,1,Worst (not in list)
9653567,P029,2,0,
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P015,6,1,Worst (not in list)
9653572,P035,1,0,
9653573,P032,1,0,
9653574,P029,2,0,
9653575,P020,2,0,
9653576,P019,6,0,Worst (in list)
9653577,P026,6,1,Worst (not in list)
9653578,P010,3,0,
9653579,P018,2,0,
9653580,P004,6,1,Worst (not in list)
9653581,P031,2,0,
9653582,P026,6,1,Worst (not in list)
9653583,P002,6,1,Worst (not in list)
9653584,P031,6,1,Worst (not in list)
9653585,P025,6,1,Worst (not in list)
9653586,P018,6,1,Worst (not in list)
9653587,P006,2,0,
9653588,P005,3,0,
9653589,P006,1,0,
9653590,P004,5,0,
9653591,P024,2,0,
9653592,P012,2,0,
9653593,P016,1,0,
9653594,P017,2,0,
9653595,P033,6,1,Worst (not in list)
9653596,P025,4,0,
9653597,P004,6,1,Worst (not in list)
9653598,P014,6,1,Worst (not in list)
9653599,P017,5,0,
9653600,P029,4,0,
9653601,P015,6,1,Worst (not in list)
9653602,P033,5,0,
9653603,P011,1,0,
9653604,P027,6,1,Worst (not in list)
9653605,P010,6,1,Worst (not in list)
9653606,P024,1,0,
9653607,P002,2,0,
9653608,P027,2,0,
