Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P023,6,1,Worst (not in list)
9653508,P029,3,0,
9653509,P019,3,0,
9653510,P013,4,0,
9653511,P003,1,0,
9653512,P032,4,0,
9653513,P010,1,0,
9653514,P034,1,0,
9653515,P008,6,1,Worst (not in list)
9653516,P031,4,0,
9653517,P010,6,1,Worst (not in list)
9653518,P019,3,0,
9653519,P016,6,1,Worst (not in list)
9653520,P034,6,1,Worst (not in list)
9653521,P027,4,0,
9653522,P016,6,1,Worst (not in list)
9653523,P015,5,0,
9653524,P028,3,0,
9653525,P011,3,0,
9653526,P002,2,0,
9653527,P026,6,1,Worst (not in list)
9653528,P025,4,0,
9653529,P004,5,0,
9653530,P007,6,1,Worst (not in list)
9653531,P010,2,0,
9653532,P002,6,1,Worst (not in list)
9653533,P036,6,1,Worst (not in list)
9653534,P037,1,0,
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P018,2,0,
9653540,P016,2,0,
9653541,P023,6,0,Worst (in list)
9653542,P017,1,0,
9653543,P036,5,0,
9653544,P032,1,0,
9653545,P022,6,1,Worst (not in list)
9653546,P002,6,1,Worst (not in list)
9653547,P013,5,0,
9653548,P006,6,1,Worst (not in list)
9653549,P018,1,0,
9653550,P009,6,0,Worst (in list)
9653551,P003,2,0,
9653552,P012,6,1,Worst (not in list)
9653553,P013,6,1,Worst (not in list)
9653554,P026,2,0,
9653555,P008,5,0,
9653556,P019,6,1,Worst (not in list)
9653557,P020,2,0,
9653558,P017,1,0,
9653559,P026,6,1,Worst (not in list)
9653560,P004,6,1,Worst (not in list)
9653561,P017,2,0,
9653562,P018,2,0,
9653563,P019,2,0,
9653564,P029,5,0,
9653565,P021,3,0,
9653566,P002,2,0,
9653567,P019,6,1,Worst (not in list)
9653568,P022,5,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P033,5,0,
9653572,P035,1,0,
9653573,P014,4,0,
9653574,P029,2,0,
9653575,P011,1,0,
9653576,P010,4,0,
9653577,P027,3,0,
9653578,P025,4,0,
9653579,P005,1,0,
9653580,P032,4,0,
9653581,P025,5,0,
9653582,P023,6,1,Worst (not in list)
9653583,P031,3,0,
9653584,P003,2,0,
9653585,P029,1,0,
9653586,P001,6,1,Worst (not in list)
9653587,P006,2,0,
9653588,P003,2,0,
9653589,P006,1,0,
9653590,P013,6,1,Worst (not in list)
9653591,P024,2,0,
9653592,P012,2,0,
9653593,P015,4,0,
9653594,P030,1,0,
9653595,P001,6,1,Worst (not in list)
9653596,P020,2,0,
9653597,P034,5,0,
9653598,P004,4,0,
9653599,P013,4,0,
9653600,P029,4,0,
9653601,P006,2,0,
9653602,P033,5,0,
9653603,P011,1,0,
9653604,P028,6,1,Worst (not in list)
9653605,P010,6,1,Worst (not in list)
9653606,P036,6,1,Worst (not in list)
9653607,P031,1,0,
9653608,P027,2,0,
