Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P019,4,0,
9653508,P029,3,0,
9653509,P011,1,0,
9653510,P013,4,0,
9653511,P003,1,0,
9653512,P016,6,0,Worst (in list)
9653513,P010,1,0,
9653514,P014,6,1,Worst (not in list)
9653515,P013,6,1,Worst (not in list)
9653516,P029,2,0,
9653517,P037,5,0,
9653518,P019,3,0,
9653519,P002,6,1,Worst (not in list)
9653520,P010,2,0,
9653521,P030,3,0,
9653522,P027,1,0,
9653523,P023,1,0,
9653524,P032,4,0,
9653525,P011,3,0,
9653526,P026,1,0,
9653527,P012,1,0,
9653528,P036,6,1,Worst (not in list)
9653529,P004,5,0,
9653530,P027,6,1,Worst (not in list)
9653531,P016,3,0,
9653532,P025,6,1,Worst (not in list)
9653533,P008,1,0,
9653534,P013,4,0,
9653535,P007,1,0,
9653536,P024,1,0,
9653537,P024,4,0,
9653538,P012,2,0,
9653539,P018,2,0,
9653540,P029,1,0,
9653541,P012,3,0,
9653542,P017,1,0,
9653543,P036,5,0,
9653544,P002,3,0,
9653545,P020,3,0,
9653546,P028,1,0,
9653547,P015,3,0,
9653548,P008,1,0,
9653549,P018,1,0,
9653550,P015,1,0,
9653551,P027,6,1,Worst (not in list)
9653552,P007,1,0,
9653553,P004,3,0,
9653554,P026,2,0,
9653555,P010,1,0,
9653556,P031,6,1,Worst (not in list)
9653557,P028,1,0,
9653558,P017,1,0,
9653559,P026,6,1,Worst (not in list)
9653560,P035,4,0,
9653561,P034,6,1,Worst (not in list)
9653562,P010,1,0,
9653563,P013,6,1,Worst (not in list)
9653564,P004,6,1,Worst (not in list)
9653565,P021,3,0,
9653566,P002,2,0,
9653567,P031,6,1,Worst (not in list)
9653568,P006,1,0,
9653569,P011,2,0,
9653570,P003,3,0,
9653571,P001,6,0,Worst (in list)
9653572,P023,6,1,Worst (not in list)
9653573,P032,1,0,
9653574,P019,1,0,
9653575,P020,2,0,
9653576,P016,6,1,Worst (not in list)
9653577,P033,1,0,
9653578,P025,4,0,
9653579,P003,6,1,Worst (not in list)
9653580,P002,6,1,Worst (not in list)
9653581,P031,2,0,
9653582,P021,1,0,
9653583,P025,4,0,
9653584,P033,4,0,
9653585,P029,1,0,
9653586,P005,3,0,
9653587,P022,3,0,
9653588,P001,6,1,Worst (not in list)
9653589,P006,1,0,
9653590,P019,6,0,Worst (in list)
9653591,P024,2,0,
9653592,P036,4,0,
9653593,P010,3,0,
9653594,P017,2,0,
9653595,P005,1,0,
9653596,P034,6,1,Worst (not in list)
9653597,P034,5,0,
9653598,P004,4,0,
9653599,P013,4,0,
9653600,P029,4,0,
9653601,P006,2,0,
9653602,P009,2,0,
9653603,P011,1,0,
9653604,P008,6,1,Worst (not in list)
9653605,P006,1,0,
9653606,P024,1,0,
9653607,P031,1,0,
9653608,P027,2,0,
