iter,best_total,gini,total_violations
1,43407.0,0.13478936128907015,54.0
2,43407.0,0.1315037826154083,56.0
3,43407.0,0.13458110516934038,53.0
4,43407.0,0.14623364375810446,53.0
5,43407.0,0.13504611330698285,54.0
6,43407.0,0.14757170473823308,53.0
7,43407.0,0.14713741207906014,54.0
8,43407.0,0.1473738089613354,53.0
9,43407.0,0.14053589563315363,53.0
10,43407.0,0.1427145708582834,53.0
11,43407.0,0.1353561187320778,55.0
12,43407.0,0.13618714812657737,54.0
13,43407.0,0.13562737347903586,56.0
14,43407.0,0.13478936128907015,52.0
15,43407.0,0.14462745098039226,53.0
16,43407.0,0.1424888680571832,54.0
17,43407.0,0.13618714812657737,56.0
18,43407.0,0.14757170473823308,53.0
19,43407.0,0.14031497290765205,53.0
20,43407.0,0.13478936128907015,54.0
21,43407.0,0.12987788435609982,54.0
22,43407.0,0.13811079987550584,58.0
23,43407.0,0.13698257080610027,54.0
24,43407.0,0.14713741207906014,54.0
25,43407.0,0.13639900404606278,53.0
26,42414.0,0.14184313725490214,52.0
27,42414.0,0.14053589563315363,53.0
28,42414.0,0.1407185628742514,53.0
29,42414.0,0.14773086654016454,53.0
30,42414.0,0.1464670375192329,54.0
31,42411.0,0.1389116282695981,52.0
32,42393.0,0.14020977652538053,51.0
33,42393.0,0.15130586647614516,51.0
34,42393.0,0.1414397422295572,51.0
35,42393.0,0.1414397422295572,52.0
36,42393.0,0.15130586647614516,51.0
37,42393.0,0.15416716584800935,51.0
38,42393.0,0.1481240383477333,52.0
39,42393.0,0.1353329450592119,54.0
40,42393.0,0.1390906960393719,52.0
41,42393.0,0.15403315797863867,52.0
42,42393.0,0.13550420168067226,52.0
43,41399.0,0.14828678946326015,50.0
44,41399.0,0.16209824135839898,51.0
45,41399.0,0.15108401084010836,52.0
46,41399.0,0.15300906513318158,50.0
47,40400.0,0.14840835119472906,49.0
48,40400.0,0.15416716584800935,51.0
49,40400.0,0.15338135254101648,50.0
50,40400.0,0.15117207779242045,49.0
51,40400.0,0.15004176112635725,50.0
52,40400.0,0.15750562520089995,50.0
53,39410.0,0.1621698266083292,48.0
54,38420.0,0.17568461983949682,47.0
55,38420.0,0.18893678160919544,48.0
56,38420.0,0.1737667698658412,49.0
57,38420.0,0.17568461983949682,47.0
58,38420.0,0.18235294117647052,48.0
59,38420.0,0.18015486449356796,50.0
60,38420.0,0.16895902411068825,48.0
61,38401.0,0.1756622310657877,46.0
62,38401.0,0.18893678160919544,47.0
63,38401.0,0.1888578325498667,46.0
64,38401.0,0.17818105965790573,47.0
65,38401.0,0.17818105965790573,47.0
66,38401.0,0.17725988700564962,47.0
67,38399.0,0.17211558307533528,46.0
68,38399.0,0.17620113584545852,47.0
69,38399.0,0.17211558307533528,46.0
70,38399.0,0.17300916138125425,45.0
71,38399.0,0.18092311551486268,47.0
72,38399.0,0.1746427384513127,46.0
73,38399.0,0.17657466383581033,46.0
74,37408.0,0.18316081797525863,45.0
75,36416.0,0.19535062933470332,44.0
76,36416.0,0.1887361005008064,44.0
77,34399.0,0.19769446240034477,41.0
78,34399.0,0.19750367107195296,41.0
79,34399.0,0.19839414794615406,41.0
80,34399.0,0.19201130233752886,42.0
81,34399.0,0.20423025085865842,44.0
82,34399.0,0.21054251296931337,42.0
83,34399.0,0.19839414794615406,42.0
84,34399.0,0.2103326723948005,42.0
85,34399.0,0.19784141726866197,43.0
86,34399.0,0.20405228758169933,42.0
87,34399.0,0.20623171317524783,41.0
88,34399.0,0.20423025085865842,43.0
89,34399.0,0.19839414794615406,41.0
