iter,best_total,gini,total_violations
1,78475.0,0.27983505379867823,84.0
2,78475.0,0.28375983161626245,85.0
3,75453.0,0.27909945141491477,80.0
4,75453.0,0.2738920225624497,81.0
5,75453.0,0.2880353274454258,80.0
6,73410.0,0.276395173453997,76.0
7,73410.0,0.28049046916816867,77.0
8,73410.0,0.2772180695482612,76.0
9,73410.0,0.2788580997137147,76.0
10,73410.0,0.2754306142346441,78.0
11,73409.0,0.27969379532634964,76.0
12,72411.0,0.2839896289094151,75.0
13,72408.0,0.27895639129968924,75.0
14,72408.0,0.2803275156216333,76.0
15,72408.0,0.2765133301276913,76.0
16,72404.0,0.27700052994170654,75.0
17,72404.0,0.2849601379013144,75.0
18,71402.0,0.2758802445709465,74.0
19,70407.0,0.2836191697387401,73.0
20,70407.0,0.2940903380850948,73.0
21,69408.0,0.2838851387549556,72.0
22,68412.0,0.28583035424114395,71.0
23,68412.0,0.2848025636847536,71.0
24,68412.0,0.29516413306895783,71.0
25,68408.0,0.2805635915568412,71.0
26,68406.0,0.27946504688832047,71.0
27,67408.0,0.28217079181399335,70.0
28,67408.0,0.28313832344927065,72.0
29,67408.0,0.29059478944781253,70.0
30,67408.0,0.2886890293307407,70.0
31,67408.0,0.2777601606680407,71.0
32,65411.0,0.28506995084535197,68.0
33,65411.0,0.2934016303150473,68.0
34,64415.0,0.2902670817630674,67.0
35,64415.0,0.2943392046083972,67.0
36,64415.0,0.2902670817630674,67.0
37,62396.0,0.28924307153028805,64.0
38,62396.0,0.29325667944231526,65.0
39,62391.0,0.2816129206503538,64.0
40,61399.0,0.28845622756144723,63.0
41,61398.0,0.28662701035470367,63.0
42,61398.0,0.28387678191053584,64.0
43,61398.0,0.2898128089762819,64.0
44,61398.0,0.2913481776891549,64.0
45,61398.0,0.2875999561835907,65.0
46,61398.0,0.2890085611709473,63.0
47,61398.0,0.2954135677259408,63.0
48,61398.0,0.29084967320261457,63.0
49,60399.0,0.28845622756144723,62.0
50,60399.0,0.28942165101334655,65.0
51,60399.0,0.2957655996871683,62.0
52,60399.0,0.2902403899412875,62.0
53,59403.0,0.2915758896151054,61.0
54,59403.0,0.287673496364838,62.0
55,59403.0,0.2988359608973272,62.0
56,59403.0,0.2873687718713548,62.0
57,59403.0,0.2953077184631078,63.0
58,59403.0,0.29651918404249306,62.0
59,59403.0,0.29333333333333333,62.0
60,59403.0,0.2911313950867701,61.0
61,59403.0,0.2988359608973272,62.0
62,59403.0,0.29571886061014674,61.0
63,59402.0,0.2930592691622103,61.0
64,59402.0,0.3002591841334234,61.0
65,59402.0,0.30295257637938905,61.0
66,59402.0,0.2918552036199095,63.0
67,57398.0,0.2879488874201365,59.0
68,57398.0,0.29206823972526874,62.0
69,57398.0,0.28891104464384637,59.0
70,57398.0,0.29086818863522756,60.0
71,56399.0,0.2887876277271472,58.0
72,56399.0,0.29292340165527975,60.0
73,56399.0,0.2887876277271472,60.0
74,56399.0,0.2887876277271472,58.0
75,56399.0,0.29858419012304077,59.0
76,55403.0,0.29386626445449976,57.0
77,55403.0,0.2988359608973272,57.0
78,55403.0,0.29386626445449976,57.0
79,55403.0,0.2976311912048056,57.0
80,55403.0,0.29386626445449976,57.0
81,53405.0,0.2927411652340019,55.0
82,53405.0,0.2976311912048056,55.0
83,52407.0,0.29352432615697566,54.0
84,52407.0,0.29394957983193276,55.0
85,52407.0,0.30071092764591223,54.0
86,52407.0,0.30071092764591223,54.0
87,52407.0,0.3024882467606925,54.0
88,52407.0,0.3004887414906616,54.0
89,51406.0,0.2916948388550821,53.0
90,51406.0,0.2898196527894827,55.0
91,51406.0,0.2952895443891842,53.0
92,51406.0,0.30072028811524615,54.0
93,51406.0,0.294032886929988,54.0
94,51406.0,0.2965686274509805,53.0
95,51406.0,0.2952895443891842,54.0
96,51406.0,0.2909243697478993,54.0
97,51406.0,0.3001153402537487,53.0
98,51406.0,0.2890620635718675,56.0
99,51406.0,0.30071092764591223,54.0
100,51403.0,0.2921345176247137,53.0
101,51403.0,0.29205659536541895,56.0
102,51403.0,0.2993445216703396,54.0
103,51403.0,0.2928851540616247,52.0
104,51403.0,0.29473743520396645,53.0
105,51402.0,0.29133244206773623,53.0
106,51402.0,0.290140056022409,54.0
107,51402.0,0.29133244206773623,53.0
108,51402.0,0.29628068992640033,55.0
109,50440.0,0.292400576049629,54.0
110,50440.0,0.2932820855614974,56.0
111,50440.0,0.29133244206773623,53.0
112,50440.0,0.3013933367043093,54.0
113,50440.0,0.2921345176247137,54.0
114,50440.0,0.29628068992640033,55.0
115,50440.0,0.29249739111330814,56.0
116,50440.0,0.3022828728033,54.0
117,50440.0,0.29055509527754764,57.0
118,50440.0,0.2985688528284875,55.0
119,50440.0,0.29154929577464805,57.0
120,50440.0,0.2922673294669982,55.0
121,49440.0,0.292400576049629,53.0
122,49440.0,0.29970784875554807,53.0
123,49440.0,0.2950952460756382,54.0
124,49440.0,0.2932820855614974,54.0
125,49440.0,0.2965129233511587,54.0
126,49440.0,0.292400576049629,53.0
127,49440.0,0.292400576049629,54.0
128,49440.0,0.29742296918767513,55.0
129,49440.0,0.29133244206773623,53.0
130,49440.0,0.2873894655901576,55.0
131,48458.0,0.288224278475435,53.0
132,48437.0,0.28585159554017686,52.0
133,48420.0,0.28852331893209265,51.0
134,48420.0,0.2959986320109439,51.0
135,48417.0,0.2852474323062559,51.0
136,47413.0,0.283607625875835,50.0
137,47413.0,0.2937299213470701,51.0
138,47413.0,0.283714596949891,50.0
139,47413.0,0.2887625638490691,50.0
140,47413.0,0.28634023441778944,50.0
141,47413.0,0.29184668217569526,50.0
142,47413.0,0.2836134453781513,52.0
143,47413.0,0.2807584572290455,51.0
144,47413.0,0.29272504456327986,50.0
145,46414.0,0.28540305010893247,49.0
146,46414.0,0.29184668217569526,50.0
