iter,best_total,gini,total_violations
1,96621.0,0.2787590957062713,109.0
2,95622.0,0.28236408199643503,108.0
3,94622.0,0.28236408199643503,107.0
4,94622.0,0.2873476037979663,108.0
5,94622.0,0.28470588235294136,109.0
6,94622.0,0.2835936634540822,108.0
7,92624.0,0.28100840336134475,105.0
8,92624.0,0.28877265191790996,105.0
9,92624.0,0.27606070676858324,107.0
10,90627.0,0.286008928066904,103.0
11,90625.0,0.281729310635429,103.0
12,90603.0,0.27934193620468134,102.0
13,87602.0,0.2805815508021391,99.0
14,87599.0,0.2819939243302957,99.0
15,87598.0,0.28117426745979296,99.0
16,87598.0,0.2828776581054959,100.0
17,87598.0,0.2886710239651416,99.0
18,86597.0,0.2794254956884714,98.0
19,86597.0,0.28023793787177786,98.0
20,85594.0,0.27685185185185174,97.0
21,85594.0,0.2725056873578161,98.0
22,85594.0,0.27502579979360153,99.0
23,85594.0,0.28077879038939535,97.0
24,85594.0,0.27431970017924057,98.0
25,85594.0,0.28194536241462875,97.0
26,85594.0,0.27568408979190556,99.0
27,85594.0,0.287083194859865,98.0
28,84593.0,0.27687252186193023,96.0
29,84593.0,0.27568408979190556,96.0
30,83600.0,0.287083194859865,95.0
31,83600.0,0.29127673796791437,95.0
32,83600.0,0.2895350774870856,96.0
33,83600.0,0.29450980392156867,95.0
34,83600.0,0.29127673796791437,96.0
35,83600.0,0.2870354940843193,96.0
36,82600.0,0.28159964550792077,94.0
37,81606.0,0.290793328825783,93.0
38,81606.0,0.2943748928142685,93.0
39,81606.0,0.2920448179271709,95.0
40,81606.0,0.292507204610951,96.0
41,80605.0,0.29195460419124686,92.0
42,80605.0,0.29439936894297936,92.0
43,80605.0,0.29559963520291843,92.0
44,78560.0,0.2881355932203391,88.0
45,78560.0,0.29676044330775775,89.0
46,78558.0,0.2873430270984798,88.0
47,78515.0,0.28223824348680976,86.0
48,78511.0,0.2770755685194188,86.0
49,78511.0,0.2813263809678996,90.0
50,78511.0,0.282244008714597,87.0
51,78511.0,0.2759722673599825,88.0
52,78510.0,0.27612583494936455,86.0
53,78510.0,0.27333119039965714,89.0
54,78510.0,0.2718794835007172,89.0
55,78466.0,0.2708333333333333,84.0
56,76473.0,0.2792623974797674,82.0
57,76473.0,0.2846479500891265,82.0
58,76473.0,0.2856945595139465,82.0
59,75476.0,0.2844232665133093,81.0
60,74452.0,0.27922218611201377,79.0
61,74452.0,0.2844232665133093,79.0
62,74452.0,0.2843683434376536,80.0
63,73459.0,0.2874067937033969,78.0
64,73459.0,0.28741553118422525,79.0
65,73459.0,0.2924465240641711,80.0
66,73459.0,0.2897265948632976,78.0
67,73459.0,0.2935899572293508,79.0
68,73459.0,0.2964705882352942,79.0
69,73459.0,0.29086803260630084,79.0
70,72461.0,0.2914791979114593,77.0
71,72461.0,0.2924465240641711,77.0
72,71466.0,0.2988505747126435,76.0
73,71466.0,0.3037505699954402,77.0
74,71466.0,0.29497861467533193,77.0
75,71466.0,0.3011527377521614,76.0
76,71466.0,0.3076373406505459,76.0
77,71466.0,0.3011527377521614,76.0
78,70462.0,0.2938391265597149,75.0
79,69462.0,0.2938391265597149,74.0
80,69462.0,0.2966800356506239,74.0
81,69462.0,0.2887876277271472,76.0
82,69462.0,0.2988505747126435,75.0
83,69462.0,0.2988089218495422,75.0
