iter,best_total,gini,total_violations
1,85600.0,0.2681855840927922,98.0
2,85600.0,0.27139037433155083,97.0
3,85600.0,0.27139165121636044,96.0
4,85600.0,0.2707987149662125,97.0
5,85600.0,0.2771016452558034,97.0
6,83606.0,0.2771016452558034,95.0
7,82568.0,0.2775699875325853,92.0
8,81573.0,0.28086366511413957,91.0
9,81573.0,0.27878476972184224,92.0
10,81573.0,0.27570679434564527,93.0
11,81573.0,0.2788767424373879,92.0
12,81573.0,0.27570679434564527,92.0
13,81573.0,0.2839635854341736,92.0
14,81573.0,0.28593804385659594,91.0
15,81571.0,0.2827130852340937,91.0
16,81571.0,0.29275033455518723,91.0
17,81571.0,0.2890863090104078,91.0
18,81571.0,0.27929907595222,92.0
19,81570.0,0.28100775193798455,91.0
20,81531.0,0.2827130852340937,89.0
21,81531.0,0.28777393310265303,93.0
22,80532.0,0.285288384359592,88.0
23,80530.0,0.28100775193798455,88.0
24,80530.0,0.28483123454660464,88.0
25,79528.0,0.2766632664626543,87.0
26,79528.0,0.28100775193798455,87.0
27,79528.0,0.2842558852449534,88.0
28,79512.0,0.2813324160073388,86.0
29,79512.0,0.2858800324863674,86.0
30,79512.0,0.2769607843137256,87.0
31,79512.0,0.2813324160073388,87.0
32,79512.0,0.2815455594002307,87.0
33,79512.0,0.2889546351084813,86.0
34,79512.0,0.2820711862457594,88.0
35,78515.0,0.28327260107582847,85.0
36,76516.0,0.2858800324863674,83.0
37,76516.0,0.29268364062042745,84.0
38,74513.0,0.280806164107872,81.0
39,74513.0,0.28937569092919074,81.0
40,74512.0,0.2831097351221191,81.0
41,74512.0,0.2822557594466359,82.0
42,73515.0,0.2881890219214529,80.0
43,72517.0,0.28629196485715946,79.0
44,72517.0,0.29051799824407387,80.0
45,72517.0,0.2831097351221191,82.0
46,72517.0,0.2854739528947674,80.0
47,72517.0,0.28373361178791057,81.0
48,71516.0,0.28680821441002446,78.0
49,71516.0,0.29547602173399484,78.0
50,71516.0,0.2937937937937939,78.0
51,71516.0,0.2935030728709396,78.0
52,71516.0,0.29234585400425234,78.0
53,69499.0,0.2887620719929764,75.0
54,69499.0,0.2929694400282637,76.0
55,69499.0,0.2892740429505137,76.0
56,69499.0,0.2887620719929764,75.0
57,69498.0,0.2879901960784315,75.0
58,69498.0,0.29655377302436126,75.0
59,69498.0,0.28595749677116383,75.0
60,69498.0,0.2909484035305966,77.0
61,69498.0,0.2921803451919691,76.0
62,69498.0,0.2929694400282637,76.0
63,68506.0,0.2958512673362027,74.0
64,67511.0,0.30252534450312635,73.0
65,67511.0,0.2984313725490196,74.0
66,67511.0,0.3047767393561786,73.0
67,67511.0,0.30654816443711447,73.0
68,67511.0,0.30656463212244156,73.0
69,67511.0,0.30252534450312635,73.0
