iter,best_total,gini,total_violations
1,86475.0,0.2623466498899024,93.0
2,86468.0,0.24525043177892908,93.0
3,86468.0,0.24983274149554838,93.0
4,86468.0,0.25078073004658785,94.0
5,86468.0,0.25078073004658785,93.0
6,86468.0,0.24525043177892908,93.0
7,86468.0,0.24525043177892908,93.0
8,86468.0,0.24974468954248374,97.0
9,86468.0,0.25531694159145163,93.0
10,86468.0,0.24530282086725028,96.0
11,85449.0,0.24438502673796786,91.0
12,85449.0,0.251616877117339,91.0
13,84452.0,0.2470485576429524,90.0
14,84452.0,0.25531694159145163,92.0
15,84452.0,0.25797872340425543,90.0
16,82429.0,0.2414820473644002,87.0
17,81437.0,0.25149529307744295,86.0
18,81437.0,0.25395826779909825,88.0
19,81437.0,0.259711927666509,86.0
20,81437.0,0.25414379084967326,89.0
21,81436.0,0.25163398692810474,86.0
22,81436.0,0.2570718954248366,90.0
23,81436.0,0.25263157894736843,88.0
24,81436.0,0.2490093150120943,87.0
25,81436.0,0.2588496732026143,86.0
26,81436.0,0.2570718954248366,86.0
27,79438.0,0.2505214851898208,84.0
28,79438.0,0.2559796036377018,84.0
29,79438.0,0.2564387917329093,85.0
30,78439.0,0.25147712418300666,83.0
31,78439.0,0.2542728321275034,83.0
32,78439.0,0.2587497364537211,84.0
33,78439.0,0.2622615441840691,83.0
34,78439.0,0.24893661168170986,85.0
35,78439.0,0.2533071895424838,83.0
36,77437.0,0.2487907629895458,82.0
37,76435.0,0.2489264835221688,81.0
38,76435.0,0.2543038435533362,81.0
39,76435.0,0.24998713396119604,82.0
40,76435.0,0.25443262411347534,82.0
41,76435.0,0.258733682152106,81.0
42,73433.0,0.24607585816478827,78.0
43,72438.0,0.25417188151856507,77.0
44,72438.0,0.2649184334980603,77.0
45,72438.0,0.264705882352941,77.0
46,72438.0,0.2622812565886568,77.0
47,70440.0,0.2550068155604487,75.0
48,70440.0,0.2602543720190779,76.0
49,70440.0,0.2576617778478684,75.0
50,70440.0,0.25615352523988333,77.0
51,70440.0,0.2631160572337043,75.0
52,70440.0,0.2547169811320754,75.0
53,70440.0,0.2576617778478684,75.0
54,70440.0,0.2618819266837169,75.0
55,70440.0,0.253986928104575,78.0
56,70440.0,0.26369076240850553,75.0
57,70440.0,0.2619810867126143,75.0
58,70440.0,0.253986928104575,78.0
59,70440.0,0.25327671175422023,75.0
60,70440.0,0.2537423571579169,76.0
61,70440.0,0.2557453088762385,75.0
62,70440.0,0.26587809036658133,76.0
63,70440.0,0.2649184334980603,76.0
64,70440.0,0.2551360066573046,77.0
65,69444.0,0.2565447800741919,74.0
66,69444.0,0.2565447800741919,74.0
67,69442.0,0.2520029517183216,74.0
68,69438.0,0.24958281184814365,74.0
69,69438.0,0.24878099387903327,77.0
70,69438.0,0.25381850853548954,74.0
71,69438.0,0.26051934287228395,75.0
72,69435.0,0.24975425526411094,74.0
73,69435.0,0.2523466833541928,77.0
74,66417.0,0.25425183335933826,70.0
75,65423.0,0.26127054595423077,69.0
76,65423.0,0.27080970129098475,70.0
77,65423.0,0.2623928928139621,69.0
78,65423.0,0.2690988963891568,69.0
79,65423.0,0.27080970129098475,69.0
80,65423.0,0.2664689854143293,69.0
81,65423.0,0.2680902497985495,69.0
82,65423.0,0.2641133376427495,69.0
83,65423.0,0.25859160868648506,70.0
84,65423.0,0.26002975716031657,69.0
85,65423.0,0.2666773231031543,69.0
86,65423.0,0.2623928928139621,70.0
87,64423.0,0.26127054595423077,68.0
88,64419.0,0.25958169934640524,68.0
89,63422.0,0.25948766603415546,67.0
90,63422.0,0.25663206459054194,68.0
91,63397.0,0.2551360066573046,66.0
92,63397.0,0.25237358101135193,67.0
93,63397.0,0.26301006889242173,66.0
94,63397.0,0.2577701293283272,68.0
95,63397.0,0.2550068155604487,66.0
96,63397.0,0.2579607843137255,69.0
97,63397.0,0.255108359133127,67.0
98,63397.0,0.2606165460836739,67.0
99,63397.0,0.26059707702709706,66.0
100,63397.0,0.2577854671280276,68.0
101,63397.0,0.2579607843137255,67.0
102,63397.0,0.25958169934640524,67.0
103,63397.0,0.26322604513503506,66.0
104,63397.0,0.25420352837705007,68.0
105,63397.0,0.2577854671280276,67.0
106,63397.0,0.2606165460836739,66.0
107,63397.0,0.25417188151856507,66.0
108,63397.0,0.2621161672216056,67.0
109,63393.0,0.24972981318511664,66.0
110,63393.0,0.2549795643851208,66.0
111,62399.0,0.25958169934640524,65.0
112,62399.0,0.26936936936936934,65.0
113,62399.0,0.2680902497985495,65.0
114,62399.0,0.25958169934640524,67.0
115,62399.0,0.26396993113599326,65.0
116,62396.0,0.2595186222637206,65.0
117,60375.0,0.2577215582803042,62.0
118,59385.0,0.266512567086455,61.0
119,59384.0,0.2647058823529412,61.0
120,59384.0,0.2688960515713135,61.0
121,59384.0,0.27263473695489127,61.0
122,59384.0,0.2724415793714746,61.0
123,59384.0,0.27423897735889924,61.0
124,59384.0,0.27523902122832605,62.0
125,59382.0,0.2658127767235925,61.0
126,59382.0,0.2686274509803922,63.0
127,59382.0,0.2754255548373196,61.0
128,59380.0,0.2648631645171436,61.0
129,59380.0,0.2701642819289878,62.0
130,59380.0,0.26575163398692814,63.0
131,59380.0,0.2658127767235925,63.0
132,59380.0,0.2691861690912923,63.0
133,59380.0,0.26486443634057383,62.0
134,59379.0,0.26303267973856215,61.0
135,59379.0,0.27173913043478265,62.0
136,59379.0,0.2585139318885449,62.0
137,59379.0,0.26444444444444454,61.0
138,59379.0,0.26591494506649854,62.0
139,59379.0,0.26303267973856215,61.0
140,59379.0,0.26407675369613076,63.0
141,57378.0,0.2630892782644974,59.0
142,57377.0,0.2639777396369687,59.0
143,56379.0,0.26831372549019616,58.0
144,56379.0,0.27363775698958814,58.0
145,56379.0,0.27612176946250194,60.0
146,56379.0,0.2662062186352115,60.0
147,54381.0,0.27259107396309734,56.0
148,53389.0,0.2822723609991942,55.0
149,52384.0,0.27790143084260727,54.0
150,52384.0,0.28202880068016345,54.0
151,52384.0,0.2822723609991942,54.0
152,52384.0,0.278673835125448,55.0
153,52384.0,0.27893222506393855,55.0
154,52384.0,0.28313832344927065,54.0
155,52384.0,0.28727644904115485,54.0
156,52384.0,0.28642035326527304,54.0
157,52384.0,0.28313511196828456,54.0
158,52384.0,0.28313832344927065,54.0
159,52384.0,0.2874553136171595,54.0
160,51390.0,0.2858758888170654,53.0
161,50399.0,0.29508423087544894,52.0
162,50399.0,0.30246081240519135,53.0
163,49381.0,0.29586735544076,50.0
164,49381.0,0.304434564523484,50.0
165,49381.0,0.3006629585931795,52.0
166,49381.0,0.29820728291316534,51.0
167,49381.0,0.2956302521008404,52.0
168,49381.0,0.29586735544076,50.0
169,48379.0,0.291714995857498,49.0
170,48379.0,0.2942565128034218,51.0
171,48379.0,0.29586735544076,50.0
172,48379.0,0.2942565128034218,52.0
173,48379.0,0.28921568627450983,51.0
174,47387.0,0.3005876702265921,48.0
175,46390.0,0.3054605563155495,47.0
176,46390.0,0.3065283917035022,49.0
177,46390.0,0.3094828574704736,47.0
178,46390.0,0.3090693504540458,48.0
179,46390.0,0.3054605563155495,48.0
180,46390.0,0.3048282896973818,49.0
181,46390.0,0.31494372897087836,47.0
182,46390.0,0.3050140877465357,47.0
183,46387.0,0.3005876702265921,47.0
