iter,best_total,gini,total_violations
1,93710.0,0.3024228799800175,109.0
2,93710.0,0.2976882110869038,109.0
3,92671.0,0.29924725308079886,106.0
4,89669.0,0.29933634992458513,103.0
5,89669.0,0.2989590898087631,103.0
6,88673.0,0.29921812961944905,102.0
7,88631.0,0.2993079584775085,100.0
8,88631.0,0.3019729630982828,101.0
9,87612.0,0.30075508464255263,98.0
10,87612.0,0.3058451228592704,98.0
11,87612.0,0.3004686151190036,99.0
12,87612.0,0.30105063832386536,98.0
13,86614.0,0.30484068627450983,97.0
14,85616.0,0.30287335059810083,96.0
15,85616.0,0.30146290491118083,99.0
16,85616.0,0.3055297828910745,96.0
17,84615.0,0.3001721064601389,95.0
18,84615.0,0.3067940552016985,95.0
19,84615.0,0.3067940552016985,95.0
20,84613.0,0.3001954675951377,95.0
21,83615.0,0.3001721064601389,94.0
22,83615.0,0.29768821108690396,95.0
23,83615.0,0.30423084060122485,94.0
24,83615.0,0.30287335059810083,94.0
25,81593.0,0.29842404251420185,91.0
26,80596.0,0.2997286965100506,90.0
27,80596.0,0.3019169329073483,91.0
28,80596.0,0.2997286965100506,90.0
29,79596.0,0.2997286965100506,89.0
30,77595.0,0.29697584362898777,87.0
31,75590.0,0.2945412732994433,85.0
32,75590.0,0.2986846912678116,86.0
33,75590.0,0.2931221719457013,87.0
34,75590.0,0.3008714596949892,85.0
35,74629.0,0.29414781297134235,86.0
36,74629.0,0.2978092471556524,86.0
37,74625.0,0.2899159663865546,86.0
38,74625.0,0.2925441781650932,88.0
39,74625.0,0.29690147664003885,86.0
40,74625.0,0.2925441781650932,86.0
41,72606.0,0.29268292682926833,83.0
42,72606.0,0.29937304075235116,84.0
43,72606.0,0.29268292682926833,83.0
44,72606.0,0.2994013804898907,84.0
45,70609.0,0.2995173453996984,81.0
46,70609.0,0.302166545630598,81.0
47,70609.0,0.30767103079476305,83.0
48,70607.0,0.2975655093841819,81.0
49,69613.0,0.3028220634048012,80.0
50,69613.0,0.31083099906629325,80.0
51,68607.0,0.3006835761827667,79.0
52,68607.0,0.3021879483500718,81.0
53,68607.0,0.30337352332237244,79.0
54,68607.0,0.30587624457882834,81.0
55,68606.0,0.30099234815877557,79.0
56,68606.0,0.3056108597285067,79.0
57,68606.0,0.3056108597285067,79.0
58,68606.0,0.30791689716639004,80.0
59,67610.0,0.3053134834180587,78.0
60,67610.0,0.3035018288661031,82.0
61,66611.0,0.307806714016876,77.0
62,65617.0,0.3128286014721347,76.0
63,65617.0,0.3152146934723257,76.0
64,65617.0,0.31668222844693433,77.0
65,65617.0,0.31903334582240533,76.0
66,65617.0,0.3127544947691537,77.0
67,65617.0,0.31517094017094016,76.0
68,65617.0,0.3131705512393636,77.0
69,65615.0,0.3107443604401009,76.0
70,64599.0,0.3148148148148148,74.0
71,64599.0,0.3187377845028687,74.0
72,64599.0,0.3187377845028687,74.0
73,63602.0,0.3132227249874309,73.0
74,63601.0,0.3136941677629517,73.0
75,63601.0,0.32179930795847755,74.0
76,63601.0,0.3199006875477465,74.0
77,63601.0,0.3218105423987777,73.0
78,63601.0,0.32179930795847755,73.0
79,62600.0,0.3131634819532908,72.0
80,62600.0,0.3131634819532908,72.0
81,61603.0,0.31470272996658477,71.0
82,61603.0,0.31707779886147996,72.0
83,61603.0,0.3213578591045538,72.0
84,61603.0,0.3213578591045538,71.0
85,61603.0,0.31940478456754867,72.0
86,61582.0,0.3122800402212167,70.0
87,61582.0,0.3122800402212167,70.0
88,61582.0,0.3122074636306135,73.0
89,61582.0,0.3139447472279646,72.0
90,61582.0,0.3107687519452225,74.0
91,61566.0,0.31187929717341484,69.0
92,61566.0,0.3155314757481939,70.0
93,61566.0,0.3143322475570031,70.0
94,61566.0,0.3157119056773037,69.0
95,61566.0,0.3155314757481939,70.0
96,61563.0,0.307515289073829,69.0
97,60562.0,0.30700100553041737,68.0
98,60562.0,0.31126652615443573,69.0
99,60562.0,0.313852813852814,68.0
100,60562.0,0.30700100553041737,68.0
101,60562.0,0.3107970460911638,68.0
102,60562.0,0.30727227599900736,70.0
103,59565.0,0.311409353385367,67.0
104,59565.0,0.31327399380804943,68.0
105,59565.0,0.3137254901960786,69.0
106,59565.0,0.31187929717341484,68.0
107,58569.0,0.3181292189006751,66.0
108,58569.0,0.31987697039600166,70.0
109,58569.0,0.3222958057395144,67.0
110,58569.0,0.32184689057140997,67.0
111,58569.0,0.31987697039600166,67.0
112,57576.0,0.3257665482300304,65.0
113,57576.0,0.3279918864097362,65.0
114,57576.0,0.32339825562331964,67.0
115,57576.0,0.33286647992530355,66.0
116,57573.0,0.32769852126897275,65.0
117,57573.0,0.32643188854489164,68.0
118,56592.0,0.3253473574860407,65.0
119,56592.0,0.3327018943170489,66.0
120,56592.0,0.3216589267285861,66.0
121,56589.0,0.32706525233044037,65.0
122,54586.0,0.32289279348102884,63.0
123,54586.0,0.32417229186756674,64.0
124,54586.0,0.3252538800536502,63.0
125,54586.0,0.3275663206459055,63.0
126,54586.0,0.32289279348102884,63.0
127,53588.0,0.32468281430219154,62.0
128,53588.0,0.32585905649388464,62.0
129,53588.0,0.3306299263891604,64.0
130,53588.0,0.32702387885847406,62.0
131,53588.0,0.3283023735810113,64.0
132,53588.0,0.32636738906088747,64.0
133,53588.0,0.32585905649388464,64.0
134,53588.0,0.3322512951668962,62.0
135,53588.0,0.32468281430219154,62.0
136,53588.0,0.32468281430219154,62.0
137,53588.0,0.3283023735810113,63.0
138,53588.0,0.3282690559667576,63.0
139,53584.0,0.31916508538899424,62.0
140,53584.0,0.3252538800536502,63.0
141,51587.0,0.31746183815545753,60.0
142,51587.0,0.31363030649152857,61.0
143,50590.0,0.3235939112487099,59.0
144,50550.0,0.3235939112487099,57.0
145,50550.0,0.3230065359477125,58.0
146,49553.0,0.32769852126897275,56.0
147,48553.0,0.32769852126897275,55.0
148,48553.0,0.32769852126897275,56.0
149,48553.0,0.33163841807909605,55.0
150,48553.0,0.3259237688474728,56.0
151,48553.0,0.32769852126897275,55.0
152,48553.0,0.3300000000000001,57.0
153,48553.0,0.3300000000000001,55.0
154,48553.0,0.3316883800500066,57.0
155,48553.0,0.3333995760466349,55.0
156,48551.0,0.3259237688474728,55.0
157,48551.0,0.3275663206459055,56.0
158,48551.0,0.3300000000000001,55.0
159,48548.0,0.3275663206459055,55.0
160,48548.0,0.3352023083480884,55.0
161,48548.0,0.33176470588235296,55.0
162,48548.0,0.3311907544474744,55.0
163,48548.0,0.3295225066770895,55.0
164,48548.0,0.3334310468373397,55.0
165,46510.0,0.32539989680082554,51.0
166,46510.0,0.3272017837235228,52.0
167,46510.0,0.3295225066770895,52.0
168,46510.0,0.32670031709053265,53.0
169,45511.0,0.3236588364718825,50.0
170,45511.0,0.3222478533897219,52.0
171,45494.0,0.321764705882353,49.0
172,45494.0,0.3253717594420319,53.0
173,45494.0,0.3199935711989714,50.0
174,45494.0,0.3181759545923633,50.0
175,45494.0,0.3198570398058889,49.0
176,45494.0,0.32040257963650565,50.0
177,45494.0,0.3253717594420319,53.0
178,45494.0,0.328100158982512,49.0
179,45494.0,0.32979858610110707,49.0
180,45494.0,0.321764705882353,50.0
181,45494.0,0.32048793114605584,52.0
182,45494.0,0.3199935711989714,50.0
183,45494.0,0.3284313725490196,50.0
184,45494.0,0.3253717594420319,50.0
185,45494.0,0.32937853107344633,49.0
186,45494.0,0.3236588364718825,50.0
187,45494.0,0.32889507154213043,50.0
188,45494.0,0.31807557460070124,50.0
189,45494.0,0.32040257963650565,50.0
190,44497.0,0.32286921502607774,48.0
191,44497.0,0.3251854795972444,48.0
192,44494.0,0.31875816993464057,48.0
193,43498.0,0.32213831478537364,47.0
194,43498.0,0.31978183764973567,47.0
195,43478.0,0.32213831478537364,46.0
196,43478.0,0.3244599534729148,47.0
197,42480.0,0.3257302921168468,45.0
198,41459.0,0.3264539714190761,43.0
199,41459.0,0.33346949891067534,43.0
200,41459.0,0.3319134550371872,43.0
201,41459.0,0.3333670237854592,44.0
202,41459.0,0.33037872683319897,43.0
203,41459.0,0.3289430250214564,47.0
204,41459.0,0.3319134550371872,44.0
205,41459.0,0.33346949891067534,43.0
206,41459.0,0.32686407896491937,45.0
207,41459.0,0.3287314925970389,43.0
208,41458.0,0.32598039215686275,43.0
209,40459.0,0.3282485875706216,42.0
210,40459.0,0.33072555621575234,46.0
211,40459.0,0.3292371743217835,42.0
212,40457.0,0.3247177658942365,42.0
213,40457.0,0.3269740328563858,42.0
214,40457.0,0.3287314925970389,43.0
215,40456.0,0.3224108435320438,42.0
216,40456.0,0.32437626213276005,43.0
217,40456.0,0.3257302921168468,43.0
218,40456.0,0.32020604852110346,42.0
219,40454.0,0.3249019607843137,42.0
220,40454.0,0.32286921502607774,43.0
221,39454.0,0.3249019607843137,41.0
222,39454.0,0.3266219239373602,42.0
223,39454.0,0.3264539714190761,41.0
224,39454.0,0.32437626213276005,44.0
225,39449.0,0.3230793956927033,41.0
226,39449.0,0.3272302298402805,41.0
227,39449.0,0.3307014080800106,41.0
228,39449.0,0.3272017837235228,41.0
229,39449.0,0.3233390443556063,43.0
230,39449.0,0.3235939112487099,41.0
231,39449.0,0.3230793956927033,41.0
232,39449.0,0.3216832187420423,42.0
233,39449.0,0.3233390443556063,43.0
234,39449.0,0.3272302298402805,41.0
235,39449.0,0.3230117129359994,44.0
236,39449.0,0.3211662515168933,42.0
237,38445.0,0.3233390443556063,40.0
238,38445.0,0.33114035087719285,40.0
239,38445.0,0.3239113827349122,42.0
240,38445.0,0.322707147375079,41.0
241,38445.0,0.3256302521008403,41.0
242,38445.0,0.3213227413151757,41.0
243,38445.0,0.3311907544474744,40.0
244,38445.0,0.31900452488687775,41.0
245,38444.0,0.320999367488931,40.0
246,38444.0,0.3233390443556063,42.0
247,38444.0,0.3252538800536502,40.0
248,38444.0,0.32697834834259437,40.0
249,38444.0,0.3272302298402805,40.0
250,38444.0,0.32539989680082554,41.0
251,38444.0,0.3193779140320623,41.0
252,38444.0,0.3247468922209408,41.0
253,38444.0,0.3166384764768527,43.0
254,38444.0,0.3289005371125348,40.0
