iter,best_total,gini,total_violations
1,80534.0,0.2752178649237473,89.0
2,80534.0,0.27404555136817965,89.0
3,80534.0,0.2748118855385291,90.0
4,80534.0,0.2776679299170648,91.0
5,80534.0,0.2754550856155136,91.0
6,80534.0,0.274347307983967,93.0
7,80534.0,0.2760664154241085,90.0
8,78533.0,0.27431970017924057,87.0
9,78533.0,0.2785788410071549,88.0
10,78533.0,0.27688568463597135,87.0
11,78533.0,0.2759803921568628,88.0
12,77536.0,0.2739620988060028,86.0
13,77536.0,0.2739620988060028,86.0
14,77536.0,0.28268442047306036,87.0
15,77520.0,0.2789963443004322,85.0
16,77520.0,0.28666666666666674,85.0
17,77520.0,0.2889472791998643,86.0
18,77520.0,0.28409027428635275,85.0
19,77520.0,0.28650485982358564,85.0
20,77520.0,0.283255347593583,85.0
21,77520.0,0.2775735294117647,85.0
22,77520.0,0.28159195689607286,85.0
23,77520.0,0.288145143114717,85.0
24,76515.0,0.27513791031733026,84.0
25,76515.0,0.27774126410340666,85.0
26,76515.0,0.2839215686274512,84.0
27,76515.0,0.2759886077335962,85.0
28,76515.0,0.27774126410340666,84.0
29,76515.0,0.2836509251587961,84.0
30,76515.0,0.2836509251587961,85.0
31,76515.0,0.2776679299170648,85.0
32,76494.0,0.2762527233115468,83.0
33,75502.0,0.28526069518716574,82.0
34,75502.0,0.28526069518716574,84.0
35,74506.0,0.2901171963038087,81.0
36,74506.0,0.28783308195072904,82.0
37,73509.0,0.2968172776356918,80.0
38,73509.0,0.3003460207612457,80.0
39,73509.0,0.3027782541588063,80.0
40,70508.0,0.2951943783293664,77.0
41,70508.0,0.3045016823297368,77.0
42,70507.0,0.29352432615697566,77.0
43,68524.0,0.29114845938375356,76.0
44,68524.0,0.2959877592655559,76.0
45,68524.0,0.3008917852855427,76.0
46,68524.0,0.2963930557896512,76.0
47,68524.0,0.30022733731173623,76.0
48,68524.0,0.2906424817765723,79.0
49,68521.0,0.286091207021052,76.0
50,68521.0,0.29579425973287854,76.0
51,68521.0,0.2909994943536155,76.0
52,66523.0,0.28476062789788287,74.0
53,65523.0,0.28476062789788287,73.0
54,65523.0,0.290793328825783,74.0
55,65523.0,0.28983547441965285,74.0
56,64520.0,0.2796056275617593,72.0
57,63519.0,0.2786799226732948,71.0
58,62523.0,0.2863247863247865,70.0
59,62523.0,0.29120754930214166,70.0
60,62523.0,0.28806722689075637,72.0
61,62523.0,0.29553439873059045,70.0
62,62521.0,0.28209187357662613,70.0
63,62521.0,0.2887394957983194,70.0
64,61517.0,0.27706376668314386,69.0
65,60512.0,0.27310150579568837,68.0
66,60512.0,0.2749171690836998,68.0
67,59515.0,0.2783603692173249,67.0
68,59515.0,0.2835426305353601,67.0
69,58514.0,0.2765250544662309,66.0
70,58514.0,0.283429991714996,67.0
71,58514.0,0.2763941231088536,66.0
72,58514.0,0.2817323007634426,67.0
73,56493.0,0.27660094508717603,63.0
74,56493.0,0.27535638210716046,64.0
75,56493.0,0.28690969345484685,64.0
76,56493.0,0.2826063009473452,63.0
77,56493.0,0.2805684071381361,64.0
78,56493.0,0.2741306467338316,66.0
79,55490.0,0.27133160956690383,62.0
80,55488.0,0.266955962712954,62.0
81,54492.0,0.27564727548477946,61.0
82,54492.0,0.28080841275057505,63.0
83,54492.0,0.273186409550046,62.0
84,54491.0,0.2737805866148112,61.0
85,54491.0,0.2785562978654065,62.0
86,54491.0,0.2840375586854461,61.0
87,53494.0,0.2790305010893246,60.0
88,53492.0,0.2747264651717039,60.0
89,52500.0,0.28492300875152343,59.0
90,52500.0,0.28249102457884573,60.0
91,52500.0,0.29488048821834206,59.0
92,52500.0,0.2950191570881226,60.0
93,51505.0,0.2886959941569752,58.0
94,51505.0,0.2884832093757042,59.0
95,51505.0,0.2935208866155157,59.0
96,51505.0,0.2935208866155157,59.0
97,50512.0,0.29646829492030735,57.0
98,50512.0,0.29972399516991566,57.0
99,50512.0,0.30113702285647986,59.0
100,50512.0,0.29700115340253763,59.0
101,50512.0,0.30288044421308336,57.0
102,50512.0,0.30113702285647986,60.0
103,49493.0,0.29725145190040847,55.0
104,49493.0,0.30137659783677473,55.0
105,49492.0,0.298474945533769,55.0
106,49492.0,0.30259515570934264,55.0
107,49492.0,0.2960784313725489,57.0
108,49492.0,0.30024150422632395,56.0
109,49492.0,0.3079016681299387,56.0
110,49492.0,0.3076200540096279,56.0
111,48497.0,0.3054343399080701,54.0
112,48497.0,0.31271538918597735,54.0
113,48497.0,0.3054343399080701,54.0
114,48497.0,0.31393282388484095,55.0
115,48497.0,0.3054343399080701,54.0
116,48492.0,0.30197225088865964,54.0
117,48492.0,0.30214943120105175,56.0
118,47489.0,0.3024438761011649,53.0
119,47489.0,0.3027383367139958,55.0
120,47489.0,0.30831742726589156,54.0
121,47489.0,0.311927137718993,53.0
122,47489.0,0.30012467414711547,54.0
123,47489.0,0.297498309668695,54.0
124,47489.0,0.3050077173726633,54.0
125,47489.0,0.3087375300997592,53.0
126,47489.0,0.3079008073817762,54.0
127,47489.0,0.29992111787243614,55.0
128,47489.0,0.29832740012431486,55.0
129,47489.0,0.30649402618190125,55.0
130,47468.0,0.30256148702255464,52.0
131,46471.0,0.3050077173726633,51.0
132,46471.0,0.31192957663545906,51.0
133,46471.0,0.310845406411823,51.0
134,46471.0,0.30856247824573624,54.0
135,46471.0,0.31255835667600385,51.0
136,46471.0,0.30730420823300075,52.0
137,45479.0,0.3132865086333041,50.0
138,45479.0,0.3189954660542897,50.0
139,45479.0,0.313783501566307,51.0
140,45479.0,0.32113089884271756,50.0
141,45479.0,0.31772406847935547,51.0
142,45479.0,0.32110064569634494,51.0
143,45479.0,0.31098272642390296,52.0
144,45479.0,0.31772406847935547,50.0
145,45479.0,0.31657754010695194,51.0
146,45479.0,0.313079722907127,51.0
147,45479.0,0.3142882530655767,51.0
148,45479.0,0.31722899369958196,50.0
149,45479.0,0.320480631276901,50.0
150,45479.0,0.313783501566307,51.0
151,45479.0,0.31945428773919216,50.0
152,45479.0,0.3216222659276476,50.0
153,45479.0,0.31495831865680407,52.0
154,45479.0,0.3098039215686275,51.0
155,45479.0,0.3142882530655767,51.0
156,45479.0,0.31375493140199023,50.0
157,45479.0,0.31945428773919216,50.0
158,45479.0,0.31260335459485006,51.0
159,45479.0,0.3132865086333041,50.0
160,45478.0,0.31255835667600385,50.0
161,45478.0,0.3077968650587078,52.0
162,45478.0,0.32110064569634494,51.0
163,45478.0,0.31120112715744985,50.0
164,45475.0,0.3077968650587078,50.0
165,45475.0,0.31120112715744985,50.0
166,45475.0,0.3077968650587078,51.0
167,45475.0,0.30903915818526834,51.0
168,45475.0,0.3037490656086483,51.0
169,45475.0,0.3077968650587078,50.0
170,45475.0,0.31648467770341676,50.0
171,45475.0,0.3066481030281936,50.0
172,45475.0,0.31255835667600385,51.0
173,45475.0,0.31255835667600385,51.0
174,45475.0,0.3069780853517878,51.0
175,45475.0,0.31401902078196553,51.0
176,45475.0,0.3075762849518506,51.0
177,45475.0,0.3054786620530566,51.0
178,45475.0,0.3144108707312711,50.0
179,44474.0,0.3054786620530566,49.0
180,44474.0,0.30312124849939964,51.0
181,44474.0,0.31004901960784315,50.0
182,44474.0,0.30432645034414935,52.0
183,44474.0,0.3088966930055606,51.0
184,44474.0,0.31422300263388947,50.0
185,44474.0,0.307924353173222,49.0
186,44474.0,0.3062351784371565,51.0
187,44474.0,0.31004901960784315,49.0
188,44474.0,0.3031165545397046,50.0
189,44474.0,0.3054786620530566,49.0
190,44474.0,0.3056465988154794,51.0
191,44474.0,0.3018755328218242,51.0
192,44474.0,0.3088966930055606,49.0
193,44474.0,0.31004901960784315,49.0
194,43470.0,0.30078659370725036,48.0
195,42476.0,0.3066481030281936,47.0
196,42474.0,0.30259515570934264,47.0
197,42474.0,0.31063258636788066,47.0
198,42474.0,0.3071895424836602,47.0
199,42474.0,0.3074125792750335,47.0
200,42474.0,0.31192957663545906,47.0
201,41479.0,0.3114135206321335,46.0
202,41479.0,0.3114135206321335,48.0
203,41479.0,0.31255835667600385,48.0
204,41477.0,0.3089253505556526,46.0
205,41477.0,0.3089253505556526,46.0
206,41472.0,0.30541222336887974,46.0
207,41472.0,0.314950980392157,46.0
208,41472.0,0.30541222336887974,46.0
209,41472.0,0.3017178052777307,47.0
210,41472.0,0.3017178052777307,47.0
211,41472.0,0.3089253505556526,46.0
212,41472.0,0.3066481030281936,48.0
213,41470.0,0.3066005471956225,46.0
214,41470.0,0.30279790999494366,47.0
215,41469.0,0.3076157999431656,46.0
216,41469.0,0.3075125398996808,47.0
