Student ID,Assigned Project,Matched Preference Rank,OutOfList,Rank Note
9653507,P027,6,1,Worst (in list)
9653508,P030,2,0,0
9653509,P011,1,0,0
9653510,P013,4,0,0
9653511,P016,2,0,0
9653512,P013,2,0,0
9653513,P010,1,0,0
9653514,P030,2,0,0
9653515,P021,4,0,0
9653516,P031,4,0,0
9653517,P037,5,0,0
9653518,P029,1,0,0
9653519,P010,5,0,0
9653520,P025,1,0,0
9653521,P035,2,0,0
9653522,P023,6,1,Worst (in list)
9653523,P015,5,0,0
9653524,P032,4,0,0
9653525,P011,3,0,0
9653526,P029,6,1,Worst (in list)
9653527,P012,1,0,0
9653528,P026,6,1,Worst (in list)
9653529,P013,6,1,Worst (in list)
9653530,P008,6,1,Worst (in list)
9653531,P016,3,0,0
9653532,P010,6,1,Worst (in list)
9653533,P036,6,1,Worst (in list)
9653534,P009,6,1,Worst (in list)
9653535,P020,2,0,0
9653536,P022,4,0,0
9653537,P032,1,0,0
9653538,P026,6,1,Worst (in list)
9653539,P028,1,0,0
9653540,P018,6,1,Worst (in list)
9653541,P021,2,0,0
9653542,P034,6,1,Worst (in list)
9653543,P001,6,1,Worst (in list)
9653544,P001,6,1,Worst (in list)
9653545,P022,6,1,Worst (in list)
9653546,P028,1,0,0
9653547,P023,6,1,Worst (in list)
9653548,P014,5,0,0
9653549,P018,1,0,0
9653550,P036,6,1,Worst (in list)
9653551,P019,4,0,0
9653552,P018,6,1,Worst (in list)
9653553,P004,3,0,0
9653554,P026,2,0,0
9653555,P031,6,1,Worst (in list)
9653556,P034,2,0,0
9653557,P014,5,0,0
9653558,P017,1,0,0
9653559,P011,1,0,0
9653560,P016,6,1,Worst (in list)
9653561,P015,1,0,0
9653562,P018,2,0,0
9653563,P019,2,0,0
9653564,P004,6,1,Worst (in list)
9653565,P003,1,0,0
9653566,P002,2,0,0
9653567,P023,6,1,Worst (in list)
9653568,P006,1,0,0
9653569,P011,2,0,0
9653570,P030,4,0,0
9653571,P033,5,0,0
9653572,P035,1,0,0
9653573,P014,4,0,0
9653574,P019,1,0,0
9653575,P024,6,1,Worst (in list)
9653576,P008,1,0,0
9653577,P001,6,1,Worst (in list)
9653578,P025,4,0,0
9653579,P005,1,0,0
9653580,P006,6,1,Worst (in list)
9653581,P031,2,0,0
9653582,P002,6,1,Worst (in list)
9653583,P003,1,0,0
9653584,P028,6,1,Worst (in list)
9653585,P007,2,0,0
9653586,P005,3,0,0
9653587,P025,4,0,0
9653588,P003,2,0,0
9653589,P001,6,1,Worst (in list)
9653590,P004,5,0,0
9653591,P010,4,0,0
9653592,P012,2,0,0
9653593,P017,6,0,0
9653594,P037,4,0,0
9653595,P036,6,1,Worst (in list)
9653596,P027,6,1,Worst (in list)
9653597,P034,5,0,0
9653598,P005,6,1,Worst (in list)
9653599,P029,6,1,Worst (in list)
9653600,P007,1,0,0
9653601,P019,3,0,0
9653602,P033,5,0,0
9653603,P011,1,0,0
9653604,P019,6,1,Worst (in list)
9653605,P031,6,1,Worst (in list)
9653606,P024,1,0,0
9653607,P006,6,1,Worst (in list)
9653608,P027,2,0,0
